text,AC,ACP,label
Not a great place for family or general dining.,anecdotes/miscellaneous,negative,1
Check it out.,anecdotes/miscellaneous,positive,3
You can't go wrong here.,anecdotes/miscellaneous,positive,3
This place has got to be the best japanese restaurant in the new york area.,anecdotes/miscellaneous,positive,3
The place is a lot of fun.,anecdotes/miscellaneous,positive,3
Everything a NY pizza joint should be.,anecdotes/miscellaneous,positive,3
Owner must have coem on this website to give himself credit.,anecdotes/miscellaneous,neutral,2
Very good value,anecdotes/miscellaneous,positive,3
they were able to squeeze me in at 6 after i called the night before my anniversary for a friday night reservation and told me they'd treat us well for the occasion.,anecdotes/miscellaneous,neutral,2
We were sorry to check them off our list as we had enjoyed and recommended the place in the past.,anecdotes/miscellaneous,negative,1
We also ordered two hot dogs thinking they would be pretty good since there is a whole section on the menu devoted to them.,anecdotes/miscellaneous,neutral,2
"Don't waste your time, or money!!",anecdotes/miscellaneous,negative,1
"I was in love with Pongsri on 48th, but compared to Suan it is slow in service and overpriced.",anecdotes/miscellaneous,positive,3
Enjoy!,anecdotes/miscellaneous,positive,3
get over it!,anecdotes/miscellaneous,neutral,2
So sorry I can't rate this better.,anecdotes/miscellaneous,neutral,2
LLOOVVE THIS PLACE.,anecdotes/miscellaneous,positive,3
Will never be back.,anecdotes/miscellaneous,negative,1
Went on a double date with friend and his girlfriend for a few drinks and appetizers.,anecdotes/miscellaneous,neutral,2
"We had reservations at 9pm, but was not seated until 10:15pm.",anecdotes/miscellaneous,negative,1
I recommend to anyone who wants to dress up and impress the lady.,anecdotes/miscellaneous,positive,3
Avoid this place!,anecdotes/miscellaneous,negative,1
"I actually gave Patroon another chance before writing this, but the second visit was even worse.",anecdotes/miscellaneous,negative,1
This is the first time Citysearch did't call it right.,anecdotes/miscellaneous,neutral,2
Great for large groups and celebrations - our SUPER HAPPY waiter was the entertainment of the evening.,anecdotes/miscellaneous,positive,3
I have taken practically every guest that has come to visit me in NY and hooked a few New Yorkers onto Peep as well.,anecdotes/miscellaneous,positive,3
Hurley's is terrific!,anecdotes/miscellaneous,positive,3
this place is amazingly bad.,anecdotes/miscellaneous,negative,1
I guess the way my friends and I described it was The French Colonies.,anecdotes/miscellaneous,neutral,2
Faan is sooo good.,anecdotes/miscellaneous,positive,3
Everyone I bring here always loves it.,anecdotes/miscellaneous,positive,3
I'm saving up for my next visit.,anecdotes/miscellaneous,positive,3
"However, I think Jeckll and Hydes t is one of those places that is fun to do once.",anecdotes/miscellaneous,positive,3
I've been several times and am totally smitten.,anecdotes/miscellaneous,positive,3
despite the untasteful previous review...,anecdotes/miscellaneous,neutral,2
"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",anecdotes/miscellaneous,neutral,2
I've eaten at many different Indian restaurants.,anecdotes/miscellaneous,neutral,2
"Be careful, when they say spicy, they mean it!",anecdotes/miscellaneous,neutral,2
really depends on your luck!,anecdotes/miscellaneous,neutral,2
I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,anecdotes/miscellaneous,neutral,2
"The New York Times has reviewed this place three times already, you know it's going to be good.",anecdotes/miscellaneous,positive,3
Unbelievable.,anecdotes/miscellaneous,positive,3
I loved it.,anecdotes/miscellaneous,positive,3
It just wasn't Thai.,anecdotes/miscellaneous,negative,1
I've been eating at Taj Mahal for over twenty years and have found them to be the most excellent of the Indian eateries on this block of Indian restaurants.,anecdotes/miscellaneous,positive,3
Village is one of those places that scores on all fronts.,anecdotes/miscellaneous,positive,3
I have tried the various slice joints around the village but this is by far the best one.,anecdotes/miscellaneous,positive,3
We will be back.,anecdotes/miscellaneous,positive,3
We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,anecdotes/miscellaneous,neutral,2
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,anecdotes/miscellaneous,positive,3
"Restaurant snobs need not bother, this is a small, neighborhood kind of place.",anecdotes/miscellaneous,neutral,2
Get there before 7pm.,anecdotes/miscellaneous,neutral,2
and there's no way out.,anecdotes/miscellaneous,neutral,2
Go girls!!!,anecdotes/miscellaneous,positive,3
"great eats, good times.",anecdotes/miscellaneous,positive,3
This restaurant was way overhyped.,anecdotes/miscellaneous,negative,1
I would highly recommand requesting a table by the window.,anecdotes/miscellaneous,positive,3
"I've been there a few times, and I usually end up sitting next to some pretty odd people.",anecdotes/miscellaneous,negative,1
I've been here 3 times for lunch and it is one of my favorites in the city.,anecdotes/miscellaneous,positive,3
What more could you want?,anecdotes/miscellaneous,positive,3
At first i was rolling my ideas of yet another French place on the UES.,anecdotes/miscellaneous,neutral,2
"To give you an idea of how good we thought it was, we ended up going to Ping's three weekends in a row!!!",anecdotes/miscellaneous,positive,3
So rushing us out was absolutely unnecessary!,anecdotes/miscellaneous,negative,1
This place was not ALL THAT!,anecdotes/miscellaneous,negative,1
I live on the street this place is on.,anecdotes/miscellaneous,neutral,2
Guess the 555Soul ads didn't launch her big modeling career.,anecdotes/miscellaneous,neutral,2
Molto bene!,anecdotes/miscellaneous,positive,3
Ahhh...,anecdotes/miscellaneous,neutral,2
Go there to relax and feel like your somewhere else.,anecdotes/miscellaneous,positive,3
I recommend that you try this hidden spot which will surely blowup very soon,anecdotes/miscellaneous,positive,3
I thought going to Jimmys would give me a real Domincan exprience.,anecdotes/miscellaneous,neutral,2
it helps if you know what to order.,anecdotes/miscellaneous,neutral,2
"Get your food to go, find a bench, and kick back with a plate of dumplings.",anecdotes/miscellaneous,positive,3
Stay away from this place.,anecdotes/miscellaneous,negative,1
I don't think I would go again.,anecdotes/miscellaneous,negative,1
"It was the first place we ate on our first trip to New York, and it will be the last place we stop as we head out of town on our next trip to New York.",anecdotes/miscellaneous,positive,3
I went there with my friend last saturday.,anecdotes/miscellaneous,neutral,2
We went to eat at the Jekyll and Hyde restaurant on Friday night and really enjoyed the fun atmosphere and good food.,anecdotes/miscellaneous,positive,3
I have enjoyed everything I have ever gotten and the fish is so fresh and always prepared in a great way.,anecdotes/miscellaneous,positive,3
What more can you ask for?,anecdotes/miscellaneous,positive,3
Finally a reliable Chinese restaurant!,anecdotes/miscellaneous,positive,3
I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures.,anecdotes/miscellaneous,positive,3
We were less than impressed.,anecdotes/miscellaneous,negative,1
"It is the type of place to run into old friends and have a late, raucus dinner.",anecdotes/miscellaneous,positive,3
I think this is one of the more underrated places in the city.,anecdotes/miscellaneous,positive,3
"Having been a long time Ess-a-Bagel fan, I was surpised to find myself return time and time again to Murray's.",anecdotes/miscellaneous,positive,3
"Anyway, this is the last time I cross the williamsburg.",anecdotes/miscellaneous,negative,1
It's definately not a place to go if you want to impress someone.,anecdotes/miscellaneous,negative,1
This is one of my favorite restaurants and it is not to be missed.,anecdotes/miscellaneous,positive,3
