text,AC,ACP,label
Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,food,positive,3.0
I had been a regular due to the consistently good food and ease of getting a table.,food,positive,3.0
It's all about the food !!,food,positive,3.0
Great food at reasonable prices.,food,positive,3.0
The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.,food,positive,3.0
"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",food,positive,3.0
"It's not mind-blowing, but to me, thai food never is and never will be.",food,neutral,2.0
Try the tandoori salmon!,food,positive,3.0
The octopus eaters were floored by the Octopus salad.,food,positive,3.0
Baluchi's has solid food and a nice decor at reasonable prices.,food,positive,3.0
The wine list is excellent.,food,positive,3.0
"All I can say is $2 pints during happy hour and the some of the cheapest oysters you'll find in the city, though the quality is some of the best.",food,positive,3.0
you can actually get 2 salads worth if u take it home and add it to some lettuce!,food,negative,1.0
I liked the beer selection!,food,positive,3.0
"During the course of the past 3 months, the chef and staff changed and it was not for the better.",food,negative,1.0
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",food,positive,3.0
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",food,positive,3.0
We went to eat at the Jekyll and Hyde restaurant on Friday night and really enjoyed the fun atmosphere and good food.,food,positive,3.0
The bruschetta and panini's are so yummy!,food,positive,3.0
It was so bad I actually refused to pay for my food.,food,negative,1.0
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",food,positive,3.0
"Everything I had was good, and I'm a eater.",food,positive,3.0
Try the lasagnette appetizer.,food,positive,3.0
"The food is good, I can't lie.",food,positive,3.0
"Great wine list, reasonably priced.--Sara",food,positive,3.0
"The corned beef and pastrami are excellent, much less fatty than those big tourist places around Times Square.",food,positive,3.0
"The steak is good, the fish is good and the sushi was surprisingly great.",food,positive,3.0
Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.,food,positive,3.0
"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.",food,negative,1.0
"The best Chicken pad tai, I've ever had.",food,positive,3.0
"stick with the chicken, beef, and lamb dishes.",food,positive,3.0
"My wife and I will usually only order one primi and one secondi and split them, as they tend to offer large portions.",food,positive,3.0
There is a lot of variety even for people who eat vegetarian like me.,food,positive,3.0
Kosher dills are the perfect compliment for your unforgetable sandwich and they give you plenty of them.,food,positive,3.0
It was not above ordinary and the beef version had cheap (undercooked) beef.,food,negative,1.0
You can even get packages of the chutneys to stock your fridge!,food,positive,3.0
"While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city.",food,positive,3.0
The food options rule.,food,positive,3.0
I am not sure if I would call the food here Indian as it is a fusion of what seems to be French with an Indian or exotic touch.,food,neutral,2.0
"The food is very good for it's price, better than most fried dumplings I've had.",food,positive,3.0
What I didn't like was how the food came right after it was ordered.,food,negative,1.0
"head and shoulders above its neighboors on east 6 st, taj mahal is also very comparable, in food quality, to the much overpraised (and underdeserving) baluchi's.",food,positive,3.0
I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,food,positive,3.0
The food was great.,food,positive,3.0
Went there and had a combination of different seafood dishes and appetizers.,food,neutral,2.0
"Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back.",food,positive,3.0
