text,AC,ACP,label
We were seated and ignored by waitstaff.,service,negative,1
"Bottom line: B+ for the food, F for the service.",service,negative,1
"Also, the hostess called me today to thank us for coming and mentioned how she hoped that my girlfriend enjoyed her birthday - unexpected, but a truly above and beyond thing to do...",service,positive,3
"If you want a casual neighborhood bistro that has great food and excellent service, this is the place.",service,positive,3
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",service,positive,3
The place is so cool and the service is prompt and curtious.,service,positive,3
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",service,positive,3
"It's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence.",service,positive,3
I had to share my table with a loud group of kids and the service was rude an unattentive.,service,negative,1
The owner truly caters to all your needs.,service,positive,3
The service was the only thing good about this restaurant.,service,positive,3
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,service,positive,3
You get the sense that the people there care about their restaurant and about your experience and that is very nice.,service,positive,3
"The staff is excellent, specjal: that girl behind the bar, european chic.",service,positive,3
"I was in love with Pongsri on 48th, but compared to Suan it is slow in service and overpriced.",service,negative,1
The staff offers impeccable service.,service,positive,3
"The food was terrific and the service classy, attentive, without being overbearing.",service,positive,3
"Not only is the cuisine the best around, the service has always been attentive and charming.",service,positive,3
Stepped on my foot on the SECOND time he reached over me to adjust lighting.,service,negative,1
Patroon features a nice cigar bar and has great staff.,service,positive,3
"I have tried to make reservations, but both times, the hostess didn't have my name.",service,negative,1
Rao's has the best service and atmosphere in NYC.,service,positive,3
"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",service,negative,1
"They do cater to American palates, but if you like it hot let them know and they are more than willing to oblige!",service,positive,3
"The freshest, best variety, and the fastest delivery.",service,positive,3
Scalina Fedeli reminded me why service is so integral to fine dining.,service,positive,3
"The staff isn't the friendliest or most competent, and I am stickler for service, but everything else about this place makes up for it.",service,negative,1
Service is not what one would expect from a joint in this price category.,service,negative,1
"My co-workers had to wait almost an hour for delivery, only to discover that what they got was not what they ordered.",service,negative,1
"Disappointing food, lousy service.",service,negative,1
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",service,negative,1
I've rarely had a problem with slow staff in the 10 years I've been going.,service,positive,3
I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,service,negative,1
We've never had any problems with the staff but maybe we've been lucky?,service,positive,3
"in an effort to increase turnover, the restaurant offers no desserts beyond the complimentary espresso cup filled with chocolate mousse.",service,neutral,2
but the service was a bit slow.,service,negative,1
"The waiters are sweet, the food is tasty and the bill is never too large.",service,positive,3
The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,service,positive,3
We were then shooed inside.,service,negative,1
The service is ok but could be better.,service,negative,1
Decor is nice though service can be spotty.,service,positive,3
Service was slow had to wait to order and get food although not crowded.,service,negative,1
"The food was below average, the service was pathetic, there was no ambience at all.",service,negative,1
"The Halibut was too salty, dessert was so so (don't waste any of your calories) and service was poor.",service,negative,1
"Average to good Thai food, but terrible delivery.",service,negative,1
"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",service,neutral,2
They treated us well and the food was extremely fresh and well-prepared.,service,positive,3
"I went here with a friend on a whim, we went someplace else first and couldn't get a table.",service,negative,1
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",service,positive,3
"Well, their deliveries take for ever and the food is usually cold.",service,negative,1
"The man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very table he was saving (mean while there were boths open all around).",service,negative,1
"Our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.",service,positive,3
The server was really cool and served us our food and drinks with a smile.,service,positive,3
There are other people waiting!,service,neutral,2
"Excellent atmosphere, delicious dishes good and friendly service.",service,positive,3
"Great food, great prices, great service.",service,positive,3
Service is top notch.,service,positive,3
"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door.",service,positive,3
"Complimentary stuff kept coming, and when the waiter saw me opening a gift, I received my dessert on a plate that had Happy Birthday written on it, with a candlevery nice touch, and attentive staff.",service,positive,3
"The waitress, seems to be more concerned of looking good than actually waitressing.",service,negative,1
Murray won't do it.,service,negative,1
There is also very limited seating and there can be a substantial wait in getting food at peak times.,service,negative,1
"The food is great, service is ok.",service,neutral,2
"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,positive,3
INCREDIBLY POOR SERVICE AN FOOD QUALITY AT EXORBITANT PRICES.,service,negative,1
"Immediately after we paid, the waiter took the money and said, okay, you guys are outta here.",service,negative,1
I had a huge group for my birthday and we were well taken care of.,service,positive,3
People are always friendly.,service,positive,3
We were seated outside and the waiter spilled red wine and hot tea on myself and my date.,service,negative,1
The staff is also attentive and friendly.,service,positive,3
"Friendly and informative staff, very attentive and prompt raw bar service.",service,positive,3
"The staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!",service,positive,3
"still stay away, the table next to us walked out after my table and aanother were serves eventhough they were there much longer...",service,negative,1
"They're also friendlier here, especially the owner, Kenny.",service,positive,3
"The well mannered, pleasant staff that Tony has in his employ.",service,positive,3
As soon as my father lifted his pen from the check a chef appeared to usher us out.,service,negative,1
Service was good and food is wonderful.,service,positive,3
"In fact, it appears he is going to go postal at any moment.",service,negative,1
The service is good and ambience is good for a date or group outing.,service,positive,3
"Nothing against a good sales call, but the tactics at Amma are just too obvious.",service,negative,1
Service was also horrible and the ambience is not that great.,service,negative,1
"After being told that our party of three would be seated in 10 minutes and watching other parties (multiples of 2 and higher) seated for 40 minutes, the three of us were squished into a small 2-person table.",service,negative,1
We had the most wonderful waitress.,service,positive,3
I've never had bad service and the fish is fresh and delicious.,service,positive,3
Great staff.,service,positive,3
"But they don't have a toaster, which is strange.",service,negative,1
"Worse of all, $60 was erroneously added to our $80 bill.",service,negative,1
The staff was knowledgeable and full of personality.,service,positive,3
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,service,negative,1
"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",service,positive,3
A++   The service was good to excellent along with the attitude.,service,positive,3
"The wait staff is very friendly, if not overly efficient.",service,positive,3
The price is reasonable although the service is poor.,service,negative,1
"The drinks are a saving grace, but service staff, please, get over yourselves.",service,negative,1
The service was excellent and the food was delicious.,service,positive,3
For the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being seated.,service,negative,1
There is a downside if you're ordering in -- the delivery guys have MAJOR attitude.,service,negative,1
"When we sat, we got great and fast service.",service,positive,3
THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,service,positive,3
"Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available.",service,negative,1
"Saturday, Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us.",service,positive,3
The all-Italian staff is warm and engaging from the start.,service,positive,3
Knowledge of the chef and the waitress are below average.,service,negative,1
"The people with carts of food don't understand you because they don't speak English, their job is to give you the delicious food you point at.",service,negative,1
I've overheard comments from him to his employees that should not have been delivered in the dining area and I've been sitting there while he lectured another customer.,service,negative,1
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",service,negative,1
Great for large groups and celebrations - our SUPER HAPPY waiter was the entertainment of the evening.,service,positive,3
He takes real pride in his food and his business.,service,positive,3
Delivery is fast too.,service,positive,3
We arrived on time for our reservation and seated promptly.The,service,positive,3
"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside.",service,negative,1
We walked in on a Wednesday night and were seated promptly.,service,positive,3
"Ambience is delightful, service impeccable.",service,positive,3
Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,service,positive,3
And it was quick which is very important.,service,positive,3
"The service was superb, they treat you like family.",service,positive,3
Such nice people working here - but I have to review the food.,service,positive,3
They even scoop it out nice (for those on a diet) not too much not to little.,service,positive,3
"The staff was very attentive, the ambience lovely, and the food superb.",service,positive,3
I had been a regular due to the consistently good food and ease of getting a table.,service,positive,3
"Ask for Usha, the nicest bartender in manhattan.",service,positive,3
"We could not catch our waiter's eye, and he ignored us.",service,negative,1
Service was very prompt but slightly rushed.,service,positive,3
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",service,positive,3
My first time there I happened not to like the Crab Croquette apt that i ordered and they were happy to change it for me without making no big deal.,service,positive,3
An excellent service,service,positive,3
"Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.",service,negative,1
"Besides, when you have bad service, that's less money you have to tip.",service,negative,1
"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal.",service,negative,1
"The food was amazing, the service was so attentive and personable, and how about that ambience!",service,positive,3
"The service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.",service,positive,3
"The blond wood decor is very soothing, the premium sake is excellent and the service is great.",service,positive,3
"The owner is very friendly and a great guy, go try his pizza, you'll like it!",service,positive,3
Our server checked on us maybe twice during the entire meal.,service,negative,1
"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",service,positive,3
They refuse to seat parties of 3 or more on weekends.,service,negative,1
We had a 3 hour brunch- they definitely do not rush you- and they kept the unlimited mimosas flowing the whole time.,service,positive,3
"The crust is thin, the ingredients are fresh and the staff is friendly.",service,positive,3
Any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.,service,positive,3
Quick and friendly service.,service,positive,3
"The service, however, was a bright flower in a garden.",service,positive,3
"Told us to sit anywhere, and when we sat he said the table was reserved.",service,negative,1
"Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.",service,positive,3
I ordered a Lassi and asked 4 times for it but never got it.,service,negative,1
Everyone treats you like you were part of the family.,service,positive,3
"The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.",service,neutral,2
"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic.",service,negative,1
From the moment you enter till the moment you walk out the friendly and helpful staff was was just Fantastic.,service,positive,3
