text,AC,ACP,label
"It's charmingly small and that leads to an atmoshere that is extremely cozy and romantic, even.",ambience,positive,3
"This place is a literal hole-in-the-wall that is buried within Doyers, right off of Pell St (barber's alley) in Chinatown.",ambience,negative,1
We went to eat at the Jekyll and Hyde restaurant on Friday night and really enjoyed the fun atmosphere and good food.,ambience,positive,3
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",ambience,negative,1
LOVE the atmosphere - felt like I was in Paris.,ambience,positive,3
The place was nice and calm.,ambience,positive,3
Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,ambience,negative,1
"The restaurant is dark and not very attractive and then you have spot lights shining on you putting you in the worst light possible, reaching for sunglasses.",ambience,negative,1
"Also, the place is popular with families, so if you're bothered by children running loose like wild animals, come later at night to avoid them.",ambience,neutral,2
The location is perfect.,ambience,positive,3
THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,ambience,positive,3
"Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.",ambience,negative,1
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",ambience,positive,3
Indoor was very cozy and cute.,ambience,positive,3
"Ambience is so cute and quaint, good for business although we were there on vacation.",ambience,positive,3
Big and gawky on the outside.,ambience,negative,1
There is also very limited seating and there can be a substantial wait in getting food at peak times.,ambience,negative,1
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",ambience,positive,3
"Filled with suits, though, so you never really feel terribly comfortable.",ambience,negative,1
ALWAYS full with tourists (especially because of it's close proximity to Rockefeller Center).,ambience,neutral,2
The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,ambience,positive,3
Jimmy's is hands down the hottest night spot in the Bronx.,ambience,positive,3
"The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped.",ambience,negative,1
I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures.,ambience,positive,3
"I know this is the case in many nyc eateries, but here, they really cram you in to the point where it's borderline uncomfortable.",ambience,negative,1
"And forget what you read under me, the atmosphere isn't that bad either.",ambience,neutral,2
The prices and ambience are especially great considering it's in the West Village.,ambience,positive,3
Our tiny table for two (dinner plates hung over edge) was right in the middle of one of the lanes of waiter traffic.,ambience,negative,1
"Toons has recently been redone, so it's now a very attractive space.",ambience,positive,3
"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",ambience,negative,1
Now it's so crowded and loud you can't even talk to the person next to you.,ambience,negative,1
"It cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle.",ambience,negative,1
"Warm, comfortable surroundings, nice appointments (witness the etched glass and brickwork separating the dining rooms).",ambience,positive,3
this little place has a cute interior decor and affordable city prices.,ambience,positive,3
"The seating was if they were trying to get the maximum amount of people into the restaurant, so be nice to your neighbor when you dine here.",ambience,negative,1
"The staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!",ambience,positive,3
20 minutes for our reservation but it gave us time to have a few cocktails and enjoy our surroundings and each other.,ambience,positive,3
There is actually space to breathe and the decor sets the tone for an intimate dinner.,ambience,positive,3
DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.,ambience,neutral,2
Big Wong gets big Ups for a fine establishment.,ambience,positive,3
I care more about the food and ambience.,ambience,neutral,2
The location and ambience is Ok but the food is what makes up for it.,ambience,neutral,2
Too cold to enjoy.,ambience,negative,1
It's a rather cramped and busy restaurant and it closes early.,ambience,negative,1
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,ambience,positive,3
"However, their popularity has yet to slow down, and I still find myself drawn to their ambiance and delectable reputation.",ambience,positive,3
